Name,Kategorie,Tag,Beschreibung,Latitude,Longitude
Pico de las Nieves,Etappe 3 · Bergland,Tag 4,Mit ~1.949 m der höchste Aussichtspunkt der Insel.,27.961700,-15.570300
Tejeda,Etappe 3 · Bergland,Tag 4,"Weißes Bergdorf, eines der schönsten Spaniens. Hier den Bienmesabe probieren.",27.995600,-15.614700
Parador Cruz de Tejeda,Etappe 3 · Bergland,Tag 4,Berghotel an der Cruz de Tejeda. Optionale Bergnacht mit Sonnenaufgang über dem Wolkenmeer.,28.008600,-15.601100
Mirador del Balcón,Etappe 4 · Westküste (GC-200),Tag 5,In den Fels gehauene Plattform hoch über dem Atlantik – Höhepunkt der GC-200 („Drachenstraße“). Bei gutem Wetter Blick zum Teide.,28.019400,-15.785300
Agaete,Etappe 4 · Westküste (GC-200),Tag 5,"Tor zum grünen Agaete-Tal, in dem sogar Kaffee wächst (Café de Agaete).",28.098900,-15.700600
Puerto de las Nieves,Etappe 4 · Westküste (GC-200),Tag 5,Fischerort mit frischem Fisch am Paseo de los Poetas. Fähre nach Teneriffa.,28.103300,-15.708900
Piscinas naturales Las Salinas,Etappe 4 · Westküste (GC-200),Tag 5,"Mehrere durch Lava verbundene Meerwasser-Naturbecken, ~10 Min zu Fuß vom Puerto de las Nieves.",28.106300,-15.710600
Gáldar – Cueva Pintada,Etappe 5 · Norden,Tag 6,"Unter einer Bananenplantage ausgegrabene Ureinwohner-Siedlung mit originalen Wandmalereien. Museum, montags oft geschlossen – vorab planen.",28.145600,-15.653600
Arucas – Iglesia de San Juan Bautista,Etappe 5 · Norden,Tag 6,"Mächtige Kirche aus dunklem Vulkanstein, im Volksmund „Kathedrale von Arucas“.",28.119000,-15.523700
Destilería Arehucas,Etappe 5 · Norden,Tag 6,"Älteste Rumfabrik der Kanaren. Führung durch die Reifekeller, Verkostung von Rum und Ron Miel. Meist nur vormittags.",28.115800,-15.524900
Teror,Etappe 5 · Norden,Tag 6,"Wallfahrtsort mit Holzbalkonen, Sonntagsmarkt und streichfähigem Chorizo de Teror.",28.060600,-15.547800
Catedral de Santa Ana (Vegueta),Etappe 6 · Las Palmas,Tag 7,Kathedrale in der kolonialen Altstadt; vom Turm toller Blick über die Dächer.,28.098900,-15.415700
Casa de Colón,Etappe 6 · Las Palmas,Tag 7,Museum zu Christoph Kolumbus mitten in Vegueta.,28.100300,-15.415400
Museo Canario,Etappe 6 · Las Palmas,Tag 7,Mumien und Funde der Ureinwohner – ordnet Bergland und Gáldar erst richtig ein.,28.098200,-15.415900
Playa de las Canteras,Etappe 6 · Las Palmas,Tag 7,Einer der schönsten Stadtstrände Europas. Promenade zum Sonnenuntergang.,28.139700,-15.433900
Mercado del Puerto,Etappe 6 · Las Palmas,Tag 7,Markthalle mit Tapas – idealer Ausklang des Trips.,28.136200,-15.428600
Lopesan Costa Meloneras,Unterkünfte,—,"Empfehlung erste Hälfte (Süden): Strandnähe, Pool, Dünen vor der Tür.",27.744500,-15.604200
Hotel Cordial Plaza Mayor de Santa Ana,Unterkünfte,—,"Empfehlung zweite Hälfte: mitten in Vegueta, kurze Wege zu Kathedrale, Strand und Tapas.",28.099300,-15.414900
Playa de Amadores,Optional · 8–10 Tage,optional,Geschützte Bucht mit ruhigem Wasser – idealer Strandtag zu Beginn.,27.782200,-15.725300
Anfi del Mar,Optional · 8–10 Tage,optional,"Bucht mit türkisem, ruhigem Wasser. Strandtag.",27.783600,-15.696700
Roque Bentayga,Optional · 8–10 Tage,optional,Heiliger Felsen der Ureinwohner. Schöne Wanderung als zweiter Bergtag.,27.977200,-15.637800
Artenara,Optional · 8–10 Tage,optional,"Höchstgelegenes Dorf der Insel mit Höhlenhäusern, umgeben von Pinienwäldern.",28.021400,-15.649400
Barranco de Guayadeque,Optional · 8–10 Tage,optional,Schlucht mit bewohnten Höhlen und Restaurants direkt im Fels.,27.908100,-15.466100
Agüimes,Optional · 8–10 Tage,optional,"Hübsche, gepflegte Altstadt im Osten – gut kombinierbar mit Guayadeque.",27.906100,-15.446700
Santa María de Guía,Kulinarik,—,"Heimat des Queso de Flor – Käse, gelabt mit den Blüten der wilden Distel.",28.140800,-15.631400
